delivered_impression,timestamp
1,1648779035
1,1648779057
2,1648779079
2,1648779101
2,1648779123
3,1648779146
3,1648779168
4,1648779190
4,1648779212
5,1648779234
6,1648779256
6,1648779278
7,1648779300
8,1648779322
8,1648779344
9,1648779366
10,1648779388
10,1648779411
11,1648779433
11,1648779455
12,1648779477
12,1648779499
13,1648779521
13,1648779543
13,1648779565
14,1648779587
14,1648779609
15,1648779631
16,1648779653
17,1648779676
17,1648779698
18,1648779720
18,1648779742
19,1648779764
19,1648779786
20,1648779808
20,1648779830
21,1648779852
21,1648779874
22,1648779896
22,1648779919
23,1648779941
23,1648779963
24,1648779985
25,1648780007
25,1648780029
26,1648780051
26,1648780073
27,1648780095
28,1648780117
28,1648780139
29,1648780161
29,1648780184
30,1648780206
30,1648780228
31,1648780250
31,1648780272
32,1648780294
32,1648780316
33,1648780338
33,1648780360
34,1648780382
34,1648780404
35,1648780426
35,1648780449
36,1648780471
37,1648780493
37,1648780515
38,1648780537
38,1648780559
39,1648780581
40,1648780603
40,1648780625
41,1648780647
41,1648780669
42,1648780692
42,1648780714
43,1648780736
43,1648780758
44,1648780780
44,1648780802
45,1648780824
45,1648780846
46,1648780868
46,1648780890
47,1648780912
48,1648780934
48,1648780957
49,1648780979
49,1648781001
50,1648781023
51,1648781045
51,1648781067
52,1648781089
52,1648781111
53,1648781133
53,1648781155
54,1648781177
54,1648781200
55,1648781222
55,1648781244
56,1648781266
56,1648781288
57,1648781310
57,1648781332
58,1648781354
58,1648781376
59,1648781398
60,1648781420
60,1648781442
61,1648781465
61,1648781487
62,1648781509
63,1648781531
63,1648781553
64,1648781575
64,1648781597
65,1648781619
65,1648781641
66,1648781663
66,1648781685
67,1648781707
67,1648781730
68,1648781752
68,1648781774
69,1648781796
70,1648781818
70,1648781840
71,1648781862
71,1648781884
72,1648781906
72,1648781928
73,1648781950
73,1648781973
74,1648781995
74,1648782017
75,1648782039
76,1648782061
76,1648782083
77,1648782105
77,1648782127
78,1648782149
78,1648782171
79,1648782193
79,1648782215
80,1648782238
81,1648782260
81,1648782282
82,1648782304
82,1648782326
83,1648782348
83,1648782370
84,1648782392
84,1648782414
85,1648782436
85,1648782458
86,1648782480
87,1648782503
87,1648782525
88,1648782547
88,1648782569
89,1648782591
89,1648782613
90,1648782644
91,1648782674
91,1648782705
92,1648782735
93,1648782766
94,1648782796
95,1648782827
95,1648782857
96,1648782888
97,1648782918
98,1648782949
98,1648782979
99,1648783010
100,1648783040
101,1648783071
101,1648783101
102,1648783132
103,1648783162
104,1648783193
104,1648783223
105,1648783254
106,1648783284
107,1648783315
108,1648783345
108,1648783376
109,1648783406
110,1648783437
110,1648783467
111,1648783498
112,1648783528
113,1648783559
114,1648783589
114,1648783620
115,1648783650
116,1648783681
116,1648783711
117,1648783742
118,1648783772
119,1648783803
120,1648783833
120,1648783864
121,1648783894
122,1648783925
123,1648783955
123,1648783986
124,1648784016
125,1648784047
126,1648784077
126,1648784108
127,1648784138
128,1648784169
129,1648784199
129,1648784230
130,1648784260
131,1648784291
132,1648784321
132,1648784352
133,1648784382
134,1648784413
135,1648784444
135,1648784474
136,1648784505
137,1648784535
138,1648784566
139,1648784596
139,1648784627
140,1648784657
141,1648784688
141,1648784718
142,1648784749
143,1648784779
144,1648784810
145,1648784840
145,1648784871
146,1648784901
147,1648784932
147,1648784962
148,1648784993
149,1648785023
150,1648785054
151,1648785084
151,1648785115
152,1648785145
153,1648785176
154,1648785206
154,1648785237
155,1648785267
156,1648785298
157,1648785328
157,1648785359
158,1648785389
159,1648785420
160,1648785450
160,1648785481
161,1648785511
162,1648785542
163,1648785572
164,1648785603
164,1648785633
165,1648785664
166,1648785694
166,1648785725
167,1648785755
168,1648785786
169,1648785816
170,1648785847
170,1648785877
171,1648785908
172,1648785938
172,1648785969
173,1648785999
174,1648786030
175,1648786060
176,1648786091
176,1648786121
177,1648786152
178,1648786182
179,1648786213
179,1648786250
180,1648786286
181,1648786323
182,1648786360
183,1648786397
184,1648786433
185,1648786470
186,1648786507
187,1648786544
188,1648786580
189,1648786617
189,1648786654
190,1648786691
191,1648786727
192,1648786764
193,1648786801
194,1648786837
195,1648786874
196,1648786911
197,1648786948
198,1648786984
199,1648787021
200,1648787058
200,1648787095
201,1648787131
202,1648787168
203,1648787205
204,1648787242
205,1648787278
206,1648787315
207,1648787352
208,1648787389
209,1648787425
210,1648787462
211,1648787499
211,1648787535
212,1648787572
213,1648787609
214,1648787646
215,1648787682
216,1648787719
217,1648787756
218,1648787793
219,1648787829
219,1648787866
220,1648787903
221,1648787940
222,1648787976
223,1648788013
224,1648788050
225,1648788086
226,1648788123
227,1648788160
228,1648788197
229,1648788233
230,1648788270
231,1648788307
232,1648788344
232,1648788380
233,1648788417
234,1648788454
235,1648788491
236,1648788527
237,1648788564
238,1648788601
239,1648788637
240,1648788674
240,1648788711
241,1648788748
242,1648788784
243,1648788821
244,1648788858
245,1648788895
246,1648788931
247,1648788968
248,1648789005
249,1648789042
250,1648789078
251,1648789115
251,1648789152
252,1648789189
253,1648789225
254,1648789262
255,1648789299
256,1648789335
257,1648789372
258,1648789409
259,1648789446
260,1648789482
261,1648789519
262,1648789556
262,1648789593
263,1648789629
264,1648789666
265,1648789703
266,1648789740
267,1648789776
268,1648789813
269,1648789840
269,1648789866
270,1648789893
271,1648789920
271,1648789946
272,1648789973
272,1648790000
273,1648790026
274,1648790053
275,1648790080
275,1648790106
276,1648790133
276,1648790160
277,1648790186
278,1648790213
279,1648790240
279,1648790266
280,1648790293
280,1648790320
281,1648790346
282,1648790373
282,1648790400
283,1648790426
284,1648790453
284,1648790480
285,1648790506
286,1648790533
286,1648790560
287,1648790586
288,1648790613
288,1648790640
289,1648790666
290,1648790693
290,1648790720
291,1648790746
292,1648790773
292,1648790800
293,1648790826
294,1648790853
294,1648790880
295,1648790906
296,1648790933
296,1648790960
297,1648790986
298,1648791013
298,1648791040
299,1648791066
300,1648791093
300,1648791120
301,1648791146
302,1648791173
302,1648791200
303,1648791226
304,1648791253
304,1648791280
305,1648791306
305,1648791333
306,1648791360
307,1648791386
308,1648791413
308,1648791440
309,1648791466
309,1648791493
310,1648791520
311,1648791546
312,1648791573
312,1648791600
313,1648791626
313,1648791653
314,1648791680
315,1648791706
316,1648791733
316,1648791760
317,1648791786
317,1648791813
318,1648791840
319,1648791866
320,1648791893
320,1648791920
321,1648791946
321,1648791973
322,1648792000
323,1648792026
323,1648792053
324,1648792080
325,1648792106
325,1648792133
326,1648792160
327,1648792186
327,1648792213
328,1648792240
329,1648792266
330,1648792293
330,1648792320
331,1648792346
331,1648792373
332,1648792400
333,1648792426
333,1648792453
334,1648792480
335,1648792506
335,1648792533
336,1648792560
336,1648792586
337,1648792613
338,1648792640
339,1648792666
339,1648792693
340,1648792720
341,1648792746
341,1648792773
342,1648792800
343,1648792826
343,1648792853
344,1648792880
345,1648792906
345,1648792933
346,1648792960
346,1648792986
347,1648793013
348,1648793040
349,1648793066
349,1648793093
350,1648793120
351,1648793146
351,1648793173
352,1648793200
352,1648793226
353,1648793253
354,1648793280
355,1648793306
355,1648793333
356,1648793360
356,1648793386
357,1648793413
358,1648793437
