delivered_impression,datetime
104,2022-04-09T01:21:53Z
105,2022-04-09T01:22:27Z
105,2022-04-09T01:23:01Z
106,2022-04-09T01:23:36Z
107,2022-04-09T01:24:10Z
108,2022-04-09T01:24:44Z
109,2022-04-09T01:25:19Z
110,2022-04-09T01:25:53Z
111,2022-04-09T01:26:27Z
111,2022-04-09T01:27:01Z
112,2022-04-09T01:27:36Z
113,2022-04-09T01:28:10Z
114,2022-04-09T01:28:44Z
115,2022-04-09T01:29:19Z
116,2022-04-09T01:29:53Z
117,2022-04-09T01:30:27Z
117,2022-04-09T01:31:01Z
118,2022-04-09T01:31:36Z
119,2022-04-09T01:32:10Z
120,2022-04-09T01:32:44Z
121,2022-04-09T01:33:19Z
122,2022-04-09T01:33:53Z
122,2022-04-09T01:34:27Z
123,2022-04-09T01:35:01Z
124,2022-04-09T01:35:36Z
125,2022-04-09T01:36:10Z
126,2022-04-09T01:36:44Z
127,2022-04-09T01:37:19Z
128,2022-04-09T01:37:53Z
128,2022-04-09T01:38:27Z
129,2022-04-09T01:39:01Z
130,2022-04-09T01:39:36Z
131,2022-04-09T01:40:10Z
132,2022-04-09T01:40:44Z
133,2022-04-09T01:41:19Z
133,2022-04-09T01:41:53Z
134,2022-04-09T01:42:27Z
135,2022-04-09T01:43:01Z
136,2022-04-09T01:43:36Z
137,2022-04-09T01:44:10Z
138,2022-04-09T01:44:44Z
139,2022-04-09T01:45:19Z
140,2022-04-09T01:45:53Z
140,2022-04-09T01:46:27Z
141,2022-04-09T01:47:01Z
142,2022-04-09T01:47:36Z
143,2022-04-09T01:48:10Z
144,2022-04-09T01:48:44Z
144,2022-04-09T01:49:19Z
145,2022-04-09T01:49:53Z
146,2022-04-09T01:50:27Z
147,2022-04-09T01:51:01Z
148,2022-04-09T01:51:36Z
149,2022-04-09T01:52:10Z
150,2022-04-09T01:52:44Z
151,2022-04-09T01:53:19Z
151,2022-04-09T01:53:53Z
152,2022-04-09T01:54:27Z
153,2022-04-09T01:55:01Z
154,2022-04-09T01:55:36Z
155,2022-04-09T01:56:10Z
156,2022-04-09T01:56:44Z
156,2022-04-09T01:57:19Z
157,2022-04-09T01:57:53Z
158,2022-04-09T01:58:27Z
159,2022-04-09T01:59:01Z
160,2022-04-09T01:59:36Z
161,2022-04-09T02:00:10Z
162,2022-04-09T02:00:44Z
162,2022-04-09T02:01:19Z
163,2022-04-09T02:01:53Z
164,2022-04-09T02:02:27Z
165,2022-04-09T02:03:01Z
166,2022-04-09T02:03:36Z
167,2022-04-09T02:04:10Z
168,2022-04-09T02:04:44Z
168,2022-04-09T02:05:19Z
169,2022-04-09T02:05:53Z
170,2022-04-09T02:06:27Z
171,2022-04-09T02:07:01Z
172,2022-04-09T02:07:36Z
173,2022-04-09T02:08:10Z
173,2022-04-09T02:08:44Z
174,2022-04-09T02:09:19Z
175,2022-04-09T02:09:53Z
