market,ad_network,os,slot,format,page,revenue,placement_name
US,gam,android,inside,display,article,0.078808,am-android-article-inside-display-midwaywinner-exp-high
US,gam,android,inside,display,article,0.060644,am-android-article-inside-display-midwaywinner-exp-low
US,gam,android,inside,display,article,0.027728,am-android-article-inside-display-midwaywinner-exp-medium
US,gam,android,inside,display,article,17.657,am-android-article-inside-display-nus-2-ds-high
US,gam,android,inside,display,article,349.78465,am-android-article-inside-display-nus-2-high
US,gam,android,inside,display,article,194.107881,am-android-article-inside-display-nus-2-low
US,gam,android,inside,display,article,280.835318,am-android-article-inside-display-nus-2-medium
US,gam,android,inside,display,article,16.9905,am-android-article-inside-display-nus-3-ds-high
US,gam,android,inside,display,article,356.908453,am-android-article-inside-display-nus-3-high
US,gam,android,inside,display,article,207.512021,am-android-article-inside-display-nus-3-low
US,gam,android,inside,display,article,248.31965,am-android-article-inside-display-nus-3-medium
US,gam,android,inside,display,article,20.4585,am-android-article-inside-display-nus-ctrl-ds-high
US,gam,android,inside,display,article,492.509105,am-android-article-inside-display-nus-ctrl-high
US,gam,android,inside,display,article,246.187045,am-android-article-inside-display-nus-ctrl-low
US,gam,android,inside,display,article,263.865351,am-android-article-inside-display-nus-ctrl-medium
US,gam,android,inside,display,article,2.165514,am-android-article-inside-display-obib-ib-high
US,gam,android,inside,display,article,0.575572,am-android-article-inside-display-obib-ib-low
US,gam,android,inside,display,article,0.886421,am-android-article-inside-display-obib-ib-medium
US,gam,android,inside,display,article,2.288165,am-android-article-inside-display-obib-ob-high
US,gam,android,inside,display,article,1.496583,am-android-article-inside-display-obib-ob-low
US,gam,android,inside,display,article,0.864114,am-android-article-inside-display-obib-ob-medium
US,gam,android,inside,display,article,0.257937,am-android-article-inside-display-obwaterfall-ctrl-high
US,gam,android,inside,display,article,0.007095,am-android-article-inside-display-obwaterfall-ctrl-low
US,gam,android,inside,display,article,0.098138,am-android-article-inside-display-obwaterfall-ctrl-medium
US,gam,android,inside,display,article,0.128951,am-android-article-inside-display-obwaterfall-exp-high
US,gam,android,inside,display,article,0.032448,am-android-article-inside-display-obwaterfall-exp-low
US,gam,android,inside,display,article,0.083533,am-android-article-inside-display-obwaterfall-exp-medium
US,gam,android,inside,display,article,8.220978,am-android-article-inside-display-prod-high
US,gam,android,inside,display,article,1.356252,am-android-article-inside-display-prod-low
US,gam,android,inside,display,article,3.690032,am-android-article-inside-display-prod-medium
GB,gam,android,inside,display,article,0.847192,am-android-article-inside-display-uk-exp-high
GB,gam,android,inside,display,article,0.780622,am-android-article-inside-display-uk-exp-low
GB,gam,android,inside,display,article,0.49347,am-android-article-inside-display-uk-exp-medium
US,gam,android,inside,display,article,3.8305,am-android-article-inside-display-webview-ctrl-ds-high
US,gam,android,inside,display,article,97.97667,am-android-article-inside-display-webview-ctrl-high
US,gam,android,inside,display,article,194.689142,am-android-article-inside-display-webview-ctrl-low
US,gam,android,inside,display,article,56.302698,am-android-article-inside-display-webview-ctrl-medium
US,gam,android,inside,display,article,3.598,am-android-article-inside-display-webview-exp-ds-high
US,gam,android,inside,display,article,98.660115,am-android-article-inside-display-webview-exp-high
US,gam,android,inside,display,article,191.743283,am-android-article-inside-display-webview-exp-low
