ad_unit_name,market,ad_network,os,slot,format,page
am-android-article-inside-display-midwaywinner-ctrl-medium,US,gam,android,inside,display,article
am-android-article-inside-display-midwaywinner-ctrl-low,US,gam,android,inside,display,article
am-android-article-inside-native-midwaywinner-exp-high,US,gam,android,inside,native,article
am-android-article-inside-native-midwaywinner-exp-medium,US,gam,android,inside,native,article
am-android-article-inside-native-midwaywinner-exp-low,US,gam,android,inside,native,article
am-android-article-inside-display-midwaywinner-exp-high,US,gam,android,inside,display,article
am-android-article-inside-display-midwaywinner-exp-medium,US,gam,android,inside,display,article
am-android-article-inside-display-midwaywinner-exp-low,US,gam,android,inside,display,article
am-android-article-inside-display-ds-high,US,gam,android,inside,display,article
am-android-article-related-native-ibro-waterfall-high,US,gam,android,related,native,article
am-android-article-related-native-ibro-waterfall-medium,US,gam,android,related,native,article
am-android-article-related-native-ibro-waterfall-low,US,gam,android,related,native,article
am-android-article-inside-native-midwayibro-waterfall-high,US,gam,android,inside,native,article
am-android-article-inside-native-midwayibro-waterfall-medium,US,gam,android,inside,native,article
am-android-article-inside-native-midwayibro-waterfall-low,US,gam,android,inside,native,article
am-android-article-inside-display-midwayibro-waterfall-high,US,gam,android,inside,display,article
am-android-article-inside-display-midwayibro-waterfall-medium,US,gam,android,inside,display,article
am-android-article-inside-display-midwayibro-waterfall-low,US,gam,android,inside,display,article
fb-ios-foryou-large-native-pf-control,US,fb,ios,large,native,foryou
am-ios-foryou-large-native-high-pf-control,US,gam,ios,large,native,foryou
am-ios-foryou-large-native-medium-pf-control,US,gam,ios,large,native,foryou
am-ios-foryou-large-native-low-pf-control,US,gam,ios,large,native,foryou
fb-ios-foryou-large-native-pf-new,US,fb,ios,large,native,foryou
am-ios-foryou-large-native-high-pf-new,US,gam,ios,large,native,foryou
am-ios-foryou-large-native-medium-pf-new,US,gam,ios,large,native,foryou
am-ios-foryou-large-native-low-pf-new,US,gam,ios,large,native,foryou
fb-ios-article-related-native-style-left2,US,fb,ios,related,native,article
