delivered_impression,timestamp
1,1648855372
1,1648855397
1,1648855421
2,1648855446
3,1648855470
4,1648855495
4,1648855519
5,1648855544
6,1648855568
6,1648855593
6,1648855617
7,1648855642
8,1648855666
9,1648855691
10,1648855715
10,1648855740
10,1648855764
10,1648855789
11,1648855813
12,1648855838
13,1648855862
14,1648855887
15,1648855911
15,1648855936
15,1648855960
15,1648855985
16,1648856009
17,1648856034
18,1648856058
19,1648856083
19,1648856107
19,1648856132
20,1648856156
21,1648856181
21,1648856205
21,1648856230
22,1648856254
23,1648856279
24,1648856303
25,1648856328
25,1648856352
25,1648856377
26,1648856401
27,1648856426
28,1648856450
28,1648856475
28,1648856499
29,1648856524
30,1648856548
31,1648856572
31,1648856597
31,1648856621
32,1648856646
33,1648856670
34,1648856695
34,1648856719
34,1648856744
35,1648856768
36,1648856793
37,1648856817
37,1648856842
37,1648856866
38,1648856891
39,1648856915
40,1648856940
40,1648856964
41,1648856989
42,1648857013
42,1648857038
42,1648857062
43,1648857087
44,1648857111
44,1648857136
45,1648857160
46,1648857185
46,1648857209
46,1648857234
47,1648857258
48,1648857283
49,1648857307
50,1648857332
50,1648857356
50,1648857381
51,1648857405
52,1648857430
52,1648857454
52,1648857479
53,1648857503
54,1648857528
55,1648857552
56,1648857577
56,1648857601
56,1648857626
57,1648857650
58,1648857675
59,1648857699
59,1648857724
59,1648857748
60,1648857772
61,1648857797
62,1648857821
62,1648857846
62,1648857870
63,1648857895
64,1648857919
65,1648857944
65,1648857968
65,1648857993
66,1648858017
67,1648858042
68,1648858066
68,1648858091
68,1648858115
69,1648858140
70,1648858164
71,1648858189
71,1648858213
71,1648858238
72,1648858262
73,1648858287
74,1648858311
74,1648858336
74,1648858360
75,1648858385
76,1648858409
77,1648858434
78,1648858458
78,1648858483
78,1648858507
79,1648858532
80,1648858556
80,1648858581
80,1648858605
81,1648858630
82,1648858654
83,1648858679
84,1648858703
84,1648858728
84,1648858752
85,1648858777
86,1648858801
86,1648858826
86,1648858850
87,1648858875
88,1648858899
89,1648858924
90,1648858948
90,1648858978
90,1648859009
91,1648859039
92,1648859069
93,1648859099
94,1648859130
95,1648859160
96,1648859190
96,1648859220
96,1648859251
97,1648859281
98,1648859311
99,1648859341
100,1648859372
101,1648859402
102,1648859432
102,1648859462
103,1648859493
104,1648859523
104,1648859553
105,1648859583
106,1648859614
107,1648859644
107,1648859674
108,1648859704
109,1648859735
110,1648859765
110,1648859795
110,1648859825
111,1648859856
112,1648859886
113,1648859916
114,1648859946
115,1648859977
116,1648860007
117,1648860037
118,1648860067
118,1648860098
118,1648860128
119,1648860158
120,1648860188
121,1648860219
122,1648860249
122,1648860279
123,1648860309
124,1648860340
125,1648860370
125,1648860400
126,1648860430
127,1648860461
128,1648860491
128,1648860521
129,1648860551
130,1648860582
131,1648860612
131,1648860642
131,1648860672
132,1648860703
133,1648860733
134,1648860763
135,1648860793
136,1648860824
137,1648860854
138,1648860884
139,1648860914
139,1648860945
139,1648860975
140,1648861005
141,1648861035
142,1648861066
143,1648861096
144,1648861126
144,1648861156
144,1648861187
145,1648861217
146,1648861247
147,1648861277
148,1648861308
149,1648861338
150,1648861368
150,1648861398
151,1648861429
152,1648861459
152,1648861489
153,1648861519
154,1648861550
155,1648861580
155,1648861610
155,1648861640
156,1648861671
157,1648861701
158,1648861731
159,1648861761
160,1648861792
161,1648861822
162,1648861852
163,1648861882
163,1648861913
163,1648861943
164,1648861973
165,1648862003
166,1648862034
167,1648862064
168,1648862094
168,1648862124
168,1648862155
169,1648862185
170,1648862215
171,1648862245
172,1648862276
173,1648862306
174,1648862336
174,1648862366
175,1648862397
176,1648862427
176,1648862457
177,1648862487
178,1648862518
179,1648862548
179,1648862580
180,1648862613
181,1648862645
182,1648862678
183,1648862710
183,1648862743
184,1648862775
185,1648862807
186,1648862840
187,1648862872
187,1648862905
188,1648862937
189,1648862970
190,1648863002
191,1648863034
191,1648863067
192,1648863099
193,1648863132
194,1648863164
195,1648863197
196,1648863229
196,1648863262
196,1648863294
197,1648863326
198,1648863359
199,1648863391
200,1648863424
201,1648863456
202,1648863489
203,1648863521
204,1648863553
205,1648863586
206,1648863618
206,1648863651
207,1648863683
208,1648863716
208,1648863748
209,1648863780
210,1648863813
211,1648863845
212,1648863878
212,1648863910
213,1648863943
214,1648863975
215,1648864007
216,1648864040
216,1648864072
217,1648864105
218,1648864137
219,1648864170
220,1648864202
220,1648864234
221,1648864267
222,1648864299
223,1648864332
224,1648864364
224,1648864397
225,1648864429
226,1648864462
227,1648864494
228,1648864526
228,1648864559
229,1648864591
230,1648864624
231,1648864656
232,1648864689
233,1648864721
233,1648864753
233,1648864786
234,1648864818
235,1648864851
236,1648864883
237,1648864916
238,1648864948
239,1648864980
240,1648865013
241,1648865045
242,1648865078
243,1648865110
243,1648865143
244,1648865175
245,1648865207
245,1648865240
246,1648865272
247,1648865305
248,1648865337
249,1648865370
249,1648865402
250,1648865434
251,1648865467
252,1648865499
253,1648865532
253,1648865564
254,1648865597
255,1648865629
256,1648865662
257,1648865694
257,1648865726
258,1648865759
259,1648865791
260,1648865824
261,1648865856
261,1648865889
262,1648865921
263,1648865953
264,1648865986
265,1648866018
265,1648866051
266,1648866083
267,1648866116
268,1648866148
269,1648866178
269,1648866207
270,1648866237
271,1648866266
272,1648866296
272,1648866325
273,1648866355
274,1648866384
274,1648866414
275,1648866443
276,1648866473
277,1648866502
277,1648866532
278,1648866561
279,1648866591
280,1648866620
280,1648866650
281,1648866679
282,1648866709
283,1648866738
283,1648866768
283,1648866797
284,1648866827
285,1648866856
286,1648866886
287,1648866915
288,1648866945
289,1648866974
290,1648867004
290,1648867033
290,1648867063
291,1648867092
292,1648867122
293,1648867151
294,1648867181
294,1648867210
294,1648867240
295,1648867269
296,1648867299
297,1648867328
298,1648867358
299,1648867387
300,1648867417
301,1648867446
301,1648867476
301,1648867505
302,1648867535
303,1648867564
304,1648867594
305,1648867623
305,1648867653
305,1648867682
306,1648867712
307,1648867741
308,1648867771
309,1648867800
310,1648867830
311,1648867859
311,1648867889
312,1648867918
313,1648867948
313,1648867978
314,1648868007
315,1648868037
315,1648868066
316,1648868096
317,1648868125
318,1648868155
318,1648868184
319,1648868214
320,1648868243
321,1648868273
321,1648868302
322,1648868332
